id,gameboard
1,"4,nil,nil,nil,3,nil,nil,nil,nil,nil,nil,nil,6,nil,nil,8,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,1,nil,nil,nil,nil,5,nil,nil,9,nil,nil,8,nil,nil,nil,nil,6,nil,nil,nil,7,nil,2,nil,nil,nil,nil,nil,nil,nil,nil,1,nil,2,7,nil,nil,5,nil,3,nil,nil,nil,nil,4,nil,9,nil,nil,nil,nil,nil,nil,nil,nil,"
2,"7,nil,8,nil,nil,nil,3,nil,nil,nil,nil,nil,2,nil,1,nil,nil,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,4,nil,nil,nil,nil,nil,2,6,3,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,nil,1,nil,nil,nil,9,nil,nil,9,nil,6,nil,nil,nil,nil,4,nil,nil,nil,nil,7,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,"
3,"7,nil,8,nil,nil,nil,3,nil,nil,nil,nil,nil,6,nil,1,nil,nil,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,4,nil,nil,nil,nil,nil,2,6,3,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,nil,1,nil,nil,nil,9,nil,nil,9,nil,2,nil,nil,nil,nil,4,nil,nil,nil,nil,7,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,"
4,"3,nil,7,nil,4,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,9,1,8,nil,nil,nil,nil,nil,nil,nil,nil,4,nil,nil,nil,nil,nil,7,nil,nil,nil,nil,nil,1,6,nil,nil,nil,nil,nil,nil,nil,2,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,3,8,nil,nil,9,nil,nil,nil,nil,5,nil,nil,nil,2,nil,6,nil,nil,nil,nil,nil,"
5,"5,nil,nil,7,nil,nil,6,nil,nil,nil,nil,3,8,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,2,nil,nil,6,2,nil,4,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,9,1,7,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,3,5,nil,8,nil,4,nil,nil,nil,nil,nil,1,nil,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,"
6,"4,nil,nil,7,nil,nil,6,nil,nil,nil,nil,3,8,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,2,nil,nil,6,2,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,9,1,7,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,4,3,nil,8,nil,5,nil,nil,nil,nil,nil,1,nil,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,"
7,"nil,4,nil,nil,1,nil,2,nil,nil,nil,nil,nil,nil,nil,9,nil,7,nil,nil,1,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,4,3,nil,6,nil,nil,8,nil,nil,nil,nil,nil,nil,5,nil,nil,nil,nil,2,nil,nil,nil,nil,nil,7,nil,5,nil,nil,8,nil,nil,nil,nil,nil,nil,6,nil,nil,3,nil,nil,9,nil,nil,nil,nil,nil,nil,nil,nil,"
8,"7,nil,5,nil,nil,nil,nil,nil,2,nil,nil,nil,4,nil,1,nil,nil,nil,3,nil,nil,nil,nil,nil,nil,nil,nil,nil,1,nil,6,nil,nil,4,nil,nil,2,nil,nil,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,3,7,nil,nil,nil,nil,nil,8,nil,nil,nil,nil,6,nil,nil,nil,9,nil,nil,nil,nil,nil,8,nil,"
9,"nil,nil,nil,nil,nil,nil,4,1,nil,9,nil,nil,3,nil,nil,nil,nil,nil,3,nil,nil,nil,5,nil,nil,nil,nil,nil,4,8,nil,nil,7,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,2,nil,1,nil,nil,nil,nil,nil,nil,nil,6,nil,nil,2,nil,nil,nil,nil,5,nil,7,nil,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,"
10,"7,nil,5,nil,nil,nil,nil,nil,2,nil,nil,nil,4,nil,1,nil,nil,nil,3,nil,nil,nil,nil,nil,nil,nil,nil,nil,1,nil,6,nil,nil,4,nil,nil,2,nil,nil,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,3,7,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,8,nil,nil,nil,8,nil,nil,nil,nil,nil,6,nil,"
11,"nil,8,nil,nil,1,nil,nil,nil,nil,nil,nil,5,nil,nil,nil,nil,3,nil,nil,nil,nil,nil,nil,nil,4,nil,nil,nil,nil,nil,6,nil,5,nil,7,nil,8,9,nil,nil,nil,nil,2,nil,nil,nil,nil,nil,3,nil,nil,nil,nil,nil,2,nil,nil,nil,nil,nil,1,nil,9,nil,nil,6,7,nil,nil,nil,nil,nil,nil,nil,nil,4,nil,nil,nil,nil,nil,"
12,"8,nil,9,nil,nil,nil,3,nil,nil,nil,nil,nil,7,nil,1,nil,nil,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,7,nil,nil,nil,nil,nil,2,6,3,nil,nil,nil,9,nil,nil,nil,nil,nil,nil,nil,1,nil,nil,nil,4,nil,nil,6,nil,2,nil,nil,nil,nil,4,nil,nil,nil,nil,8,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,"
